Dense	class_name	mean_recallAtFDR50	GlobalAveragePooling2D	PReLU	mean_balanced_accuracy	Convolution2D	BatchNormalization	Dropout	nb_filter	MaxPooling2D	nb_row	Activation	UpSampling2D	activation	GlobalMaxPooling2D	strides	AveragePooling2D	Model	mean_auROC	mean_auPRC	m	nb_col	pool_size	p	Sequential	l2	Flatten	input_dim	l1	output_dim
None	[u'Sequential', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D']	None	None	2	None	5	None	None	[64, 32, 32, 64, 1]	2	[4, 1, 1, 4, 1]	None	2	[u'linear', u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 4], [1, 4]]	None	optimal_CAE_model7	None	None	None	[4, 4, 4, 4, 4]	[[1, 4], [1, 4]]	None	1	None	None	None	None	None	
None	[u'Sequential', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D']	None	None	2	None	5	None	None	[64, 32, 32, 64, 1]	2	[4, 1, 1, 4, 1]	None	2	[u'linear', u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 4], [1, 4]]	None	optimal_CAE_model4	None	None	None	[4, 4, 4, 4, 4]	[[1, 4], [1, 4]]	None	1	None	None	None	None	None	
None	[u'Sequential', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D', u'UpSampling2D', u'Convolution2D']	None	None	2	None	5	None	None	[64, 64, 64, 64, 1]	2	[4, 1, 1, 4, 1]	None	2	[u'linear', u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 4], [1, 4]]	None	optimal_CAE_model5	None	None	None	[4, 4, 4, 4, 4]	[[1, 4], [1, 4]]	None	1	None	None	None	None	None	
3	[u'Sequential', u'Convolution2D', u'BatchNormalization', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'BatchNormalization', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'BatchNormalization', u'PReLU', u'MaxPooling2D', u'Flatten', u'Dense', u'PReLU', u'Dropout', u'Dense', u'PReLU', u'Dropout', u'Dense', u'Activation']	0.000273551204395	None	5	0.5	3	3	2	[300, 200, 200]	3	[4, 1, 1]	1	None	[u'linear', u'linear', u'linear', u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 3], [1, 4], [1, 4]]	None	naive_basset_best	0.716330080743	0.0796117434363	[7, 7, 7, 7]	[19, 11, 7]	[[1, 3], [1, 4], [1, 4]]	[0.3, 0.3]	1	[0.0, 0.0]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-06]	[1000, 1000, 61]	
3	[u'Sequential', u'Convolution2D', u'BatchNormalization', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'BatchNormalization', u'PReLU', u'MaxPooling2D', u'Convolution2D', u'BatchNormalization', u'PReLU', u'MaxPooling2D', u'Flatten', u'Dense', u'PReLU', u'Dropout', u'Dense', u'PReLU', u'Dropout', u'Dense', u'Activation']	None	None	5	None	3	3	2	[300, 200, 200]	3	[4, 1, 1]	1	None	[u'linear', u'linear', u'linear', u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 3], [1, 4], [1, 4]]	None	best_model_model2	None	None	[7, 7, 7, 7]	[19, 11, 7]	[[1, 3], [1, 4], [1, 4]]	[0.3, 0.3]	1	[0.0, 0.0]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-06]	[1000, 1000, 61]	
2	[u'Sequential', u'Convolution2D', u'Activation', u'MaxPooling2D', u'Dropout', u'Flatten', u'Dense', u'Activation', u'Dense', u'Activation']	6.65703629721e-05	None	None	0.500006788164	1	None	1	[16]	1	[4]	3	None	[u'linear', u'relu', u'linear', u'relu', u'linear', u'softmax']	None	[[1, 4]]	None	best_model_deepbind_m2_2	0.587644228459	0.0551556097846	None	[16]	[[1, 4]]	[0.0]	1	None	1	[7936, 128]	None	[128, 61]	
2	[u'Sequential', u'Convolution2D', u'Activation', u'MaxPooling2D', u'Dropout', u'Flatten', u'Dense', u'Activation', u'Dense', u'Activation']	9.7781625285e-05	None	None	0.499999904044	1	None	1	[16]	1	[4]	3	None	[u'linear', u'relu', u'linear', u'relu', u'linear', u'softmax']	None	[[1, 4]]	None	best_model_deepbind_m2_1	0.580490896599	0.0532366627586	None	[16]	[[1, 4]]	[0.25]	1	None	1	[7936, 128]	None	[128, 61]	
1	[u'Sequential', u'Convolution2D', u'Activation', u'MaxPooling2D', u'Dropout', u'Flatten', u'Dense', u'Activation']	None	None	None	None	1	None	1	[16]	1	[4]	2	None	[u'linear', u'relu', u'linear', u'sigmoid']	None	[[1, 4]]	None	best_model_deepbind_3	None	None	None	[16]	[[1, 4]]	[0.5]	1	None	1	[7936]	None	[61]	
1	[u'Sequential', u'Convolution2D', u'PReLU', u'AveragePooling2D', u'Convolution2D', u'PReLU', u'AveragePooling2D', u'Flatten', u'Dense', u'Dropout', u'Activation']	0.000360619032983	None	2	0.500001369878	2	None	1	[390, 390]	None	[4, 1]	1	None	[u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 4], [1, 6]]	2	optimal_deep_learning_model	0.703797072458	0.0753633261217	None	[10, 10]	[[1, 4], [1, 6]]	[0.3]	1	None	1	[31590]	None	[61]	
2	[u'Sequential', u'Convolution2D', u'BatchNormalization', u'PReLU', u'AveragePooling2D', u'Convolution2D', u'PReLU', u'AveragePooling2D', u'Convolution2D', u'PReLU', u'AveragePooling2D', u'Flatten', u'Dense', u'PReLU', u'Dropout', u'Dense', u'Activation']	0.000198372214552	None	4	0.499999911791	3	1	1	[250, 250, 250]	None	[4, 1, 1]	1	None	[u'linear', u'linear', u'linear', u'linear', u'linear', u'sigmoid']	None	[[1, 8], [1, 8], [1, 8]]	3	optimal_deep_learning_model2	0.700037201929	0.0736803949237	[7]	[11, 9, 7]	[[1, 8], [1, 8], [1, 8]]	[0.3]	1	[0.0]	1	[750, 750]	[9.999999747378752e-06]	[750, 61]	
